Vaccine,Year,n_rows,n_countries,median
DTP3,2000,191,191,90.0
DTP3,2001,191,191,91.0
DTP3,2002,192,192,91.0
DTP3,2003,192,192,92.0
DTP3,2004,192,192,91.5
DTP3,2005,192,192,93.0
DTP3,2006,193,193,93.0
DTP3,2007,193,193,94.0
DTP3,2008,193,193,93.0
DTP3,2009,193,193,94.0
DTP3,2010,193,193,94.0
DTP3,2011,194,194,94.0
DTP3,2012,194,194,94.0
DTP3,2013,194,194,94.0
DTP3,2014,194,194,94.0
DTP3,2015,194,194,93.0
DTP3,2016,194,194,94.0
DTP3,2017,194,194,92.0
DTP3,2018,194,194,93.0
DTP3,2019,194,194,93.0
DTP3,2020,194,194,91.0
DTP3,2021,194,194,91.0
DTP3,2022,194,194,91.0
DTP3,2023,194,194,91.0
DTP3,2024,194,194,91.0
HPV,2010,18,18,44.5
HPV,2011,26,26,57.0
HPV,2012,35,35,54.0
HPV,2013,43,43,55.0
HPV,2014,50,50,61.0
HPV,2015,58,58,57.0
HPV,2016,62,62,54.5
HPV,2017,73,73,56.0
HPV,2018,83,83,54.0
HPV,2019,89,89,57.0
HPV,2020,97,97,49.0
HPV,2021,106,106,42.0
HPV,2022,117,117,49.0
HPV,2023,132,132,52.0
HPV,2024,140,140,60.0
MCV2,2000,191,191,0.0
MCV2,2001,191,191,0.0
MCV2,2002,192,192,0.0
MCV2,2003,192,192,0.0
MCV2,2004,192,192,25.5
MCV2,2005,192,192,57.0
MCV2,2006,193,193,63.0
MCV2,2007,193,193,77.0
MCV2,2008,193,193,79.0
MCV2,2009,193,193,79.0
MCV2,2010,193,193,79.0
MCV2,2011,194,194,81.0
MCV2,2012,194,194,81.5
MCV2,2013,194,194,84.0
MCV2,2014,194,194,86.0
MCV2,2015,194,194,86.5
MCV2,2016,194,194,86.0
MCV2,2017,194,194,86.0
MCV2,2018,194,194,86.5
MCV2,2019,194,194,87.0
MCV2,2020,194,194,83.0
MCV2,2021,194,194,82.0
MCV2,2022,194,194,83.5
MCV2,2023,194,194,83.0
MCV2,2024,194,194,82.5
PCV3,2008,193,193,0.0
PCV3,2009,193,193,0.0
PCV3,2010,193,193,0.0
PCV3,2011,194,194,0.0
PCV3,2012,194,194,0.0
PCV3,2013,194,194,0.0
PCV3,2014,194,194,41.0
PCV3,2015,194,194,67.0
PCV3,2016,194,194,77.0
PCV3,2017,194,194,81.0
PCV3,2018,194,194,82.0
PCV3,2019,194,194,82.5
PCV3,2020,194,194,82.0
PCV3,2021,194,194,79.0
PCV3,2022,194,194,83.0
PCV3,2023,194,194,83.0
PCV3,2024,194,194,85.0
